INCOME DEGREE CHILDREN PINCOME PDEGREE PCHILDREN AGE
 NA   1   3   3   1   5  59
 11   0   3  NA   0   7  59
  8   1   1  NA   0   9  25
 25   3   2  NA   0   5  55
100   3   2   4   3   2  56
 40   4   0  NA   4   5  36
  8   3   0  NA   3   3  36
  8   3   0  NA   1   4  26
 75   4   1   4   4   3  51
 20   1   0  NA   0   2  53
 50   4   0   3   1   5  53
 NA   0   2   2   0   8  38
  9   1   0  NA   1   2  25
 40   3   0  NA   3   2  23
100   4   0   5   3   3  34
 15   1   0   2   1   6  31
 40   3   2   3   1   2  42
  9   1   0  NA   1   8  43
 11   1   3  NA   0   3  58
 25   0   2  NA   0  10  45
 NA   1   1  NA  NA  13  57
 20   1   3   3   1   6  50
  8   0   2   3   0  13  46
100   3   4  NA   0   6  55
100   4   2  NA   3   3  44
 NA   3   0   4   4   2  24
 75   3   2   4   3   5  34
 NA   1   0   3   1   3  21
100   4   2  NA   3   5  37
 20   1   0   3   0   2  48
 11   3   0  NA   0   5  34
 15   4   0  NA   1   9  30
  9   0   3   3   0  14  62
 12   0   1  NA  NA   4  57
 40   4   0  NA   1   4  33
 12   0   0  NA   0   5  55
 50   1   2  NA   1   6  47
100   4   2  NA   3   4  53
 40   1   3   3   1   2  46
 30   1   2  NA   3   2  53
 30   1   2  NA   1   4  35
 50   1   4   2   0   6  35
 40   2   1  NA   1   4  35
 25   1   3   1   0   1  47
 25   1   2  NA   1   3  55
 11   1   0  NA   0   3  31
 75   4   0   3   3   2  48
 50   3   0   2   1   3  34
 20   1   2   3   1   5  31
 15   1   5   2   0   7  47
 30   1   2   1   0  13  46
 NA   3   1  NA   3   2  35
100   3   4  NA   1   4  38
100   3   2  NA   3   3  48
 NA   3   1  NA   1   2  29
 50   1   3  NA   1   4  50
100   3   0   4   3   6  31
 25   3   2   4   4   7  41
 50   4   0   3   4   8  38
 30   1   3  NA   0   3  57
  5   0   0  NA  NA   9  55
 NA   1   1   3   2   4  33
 50   4   1   2   4   1  39
 40   1   5   2   2   1  47
 NA   4   2  NA   0   5  48
 NA   4   4  NA   3   2  53
 NA   1   0  NA  NA   8  75
 25   1   0   3   4   2  31
 40   3   2  NA   0   2  41
 75   1   4  NA   1   3  49
 50   3   2   5   0   3  33
 25   1   0   4   1   4  38
 75   1   2  NA   1   2  37
100   3   4  NA   0   5  56
 30   1   0  NA   1   5  43
  3   1   0   3   1   3  21
 25   1   0  NA   1   4  39
100   3   3  NA   0   7  41
 NA   3   2  NA   0   3  53
 11   1   0   3   1   5  40
 30   3   0  NA   4   3  33
 25   3   0   1   0  11  40
 40   3   2   2   4   1  42
 NA   1   3  NA   1   2  44
100   4   2  NA   0   5  49
 30   3   0   4   1   1  37
  9   1   0  NA   1   2  24
 40   3   1  NA   1   1  28
  9   1   0  NA   1   4  23
 30   1   3  NA   1   4  46
 25   0   2  NA   1   5  33
  8   0   0  NA   1  10  29
  0   1   0   2   1   3  30
  7   1   2   3   0   5  42
 25   1   2  NA   1   2  33
 30   1   1   2   1  14  37
 NA   0   4   3  NA  11  37
  1   1   2  NA   1   5  48
 40   1   2  NA   1   5  28
 75   4   3  NA   1   6  75
  4   1   0   3   1   2  20
 40   3   0   4   3   3  34
 NA   1  NA  NA  NA   4  37
 20   3   0  NA   0   4  52
100   4   2   4   3   3  49
100   1   2   3   0   3  54
 11   0   1   3   1   3  49
 25   1   2   3   1   2  40
 75   3   2   1   0   4  52
  9   0   1  NA   0  17  26
 30   1   1  NA   1   2  41
  9   1   0  NA   1   2  29
 11   1   3   3   1   5  46
  4   1   2  NA   0   6  30
 20   1   2  NA   0   6  33
 20   1   0  NA   1   2  33
 10   1   2  NA   3   4  32
 50   1   4   3   3   5  57
 NA   4   5  NA   1   7  44
 40   3   1   4   4   3  34
 50   1   2  NA   1   3  49
 25   3   0   3   1   5  28
 75   3   2  NA   3   8  46
  8   1   3  NA   0   3  68
 20   3   0  NA   1   5  25
 20   4   0  NA   1   5  27
 12   1   0  NA   1   1  25
 NA   2   8  NA   4  14  63
 40   2   0   4   4   5  36
  8   3   2  NA   1   6  49
  9   1   0  NA  NA   4  37
 50   3   1   3   2   2  29
 50   3   2   2   1   4  47
 40   4   3  NA   3   5  36
 75   4   1   3   1   5  48
 50   3   0   2   1   4  34
 75   1   1  NA   3   4  32
 75   3   3   4   1   5  33
 40   1   1   3   1   6  44
 11   0   3   3   0   7  56
 25   1   1   3   1   5  44
 NA   1   0   1   1   7  35
 15   1   4   3   1   8  51
  7   3   0  NA   2   4  31
 30   4   0   3   1   2  42
 20   3   0   3   0   5  49
  0   1   0   3   1   5  20
 NA   4   3   3   4   3  42
100   4   2  NA   1   2  52
  8   1   0  NA   1   2  34
 10   0   5   3  NA   2  53
 11   1   0   5   1   2  29
  2   1   0  NA   1   3  24
 25   1   6   1   1   4  60
  6   1   0  NA   0   2  39
  8   1   0  NA   0   2  42
  8   3   2  NA   2   1  40
  8   1   2   3   1   6  54
 25   1   0   4   1   1  35
 11   1   0  NA   1   5  24
 40   3   0   2   1   4  50
  2   1   2   3   0   2  68
 15   1   1  NA   0   7  50
 30   1   0   3   1   5  60
  2   0   1  NA   0   5  89
 75   1   0   3   1   3  31
 25   1   0  NA   1   3  40
 20   1   1   3   1   4  34
 12   1   2  NA   1   3  33
 30   2   1   1   0   2  35
  2   2   1  NA   1   2  41
 11   3   0  NA   3   3  26
 20   1   3  NA   1   1  38
 15   1   2  NA   0   8  37
 NA   0   1  NA   0   5  40
 20   1   3   2   1   7  30
 30   1   0   4   3   4  46
 12   1   0  NA   1   5  42
 25   1   0   3   1   7  31
 25   2   3   3   1   4  39
 25   1   7   4   1   4  50
 25   4   1  NA   3   3  31
 50   4   1  NA   0   3  48
100   4   2   3   1   3  48
100   3   2   3   1   2  59
  0   1   0  NA   3   1  20
 40   3   3   4   4   3  52
100   4   2   4   0   6  51
  7   1   3   3   1   5  36
 30   1   2   3   1   6  34
 25   1   0  NA   1   4  36
 50   3   2   3   1   1  32
 15   1   0   3   3   4  30
